CustomerID,CLV,Segment,Frequency
12346.0,0.0,Low-value,2
12347.0,4310.0,High-value,7
12348.0,1797.24,High-value,4
12349.0,1757.55,High-value,1
12350.0,334.40000000000003,Low-value,1
12352.0,1545.41,High-value,11
12353.0,89.0,Low-value,1
12354.0,1079.4,Medium-value,1
12355.0,459.40000000000003,Medium-value,1
12356.0,2811.43,High-value,3
12357.0,6207.67,High-value,1
12358.0,1168.06,High-value,2
12359.0,6182.9800000000005,High-value,6
12360.0,2662.06,High-value,3
12361.0,189.9,Low-value,1
12362.0,5154.58,High-value,13
12363.0,552.0,Medium-value,2
12364.0,1313.1,High-value,4
12365.0,320.69,Low-value,3
12367.0,168.9,Low-value,1
12370.0,3541.94,High-value,4
12371.0,1887.96,High-value,2
12372.0,1298.04,High-value,3
12373.0,364.6,Low-value,1
12374.0,742.9300000000001,Medium-value,1
12375.0,455.42,Medium-value,3
12377.0,1628.1200000000001,High-value,2
12378.0,4008.62,High-value,1
12379.0,850.29,Medium-value,3
12380.0,2720.56,High-value,5
12381.0,1803.96,High-value,6
12383.0,1839.31,High-value,6
12384.0,566.16,Medium-value,3
12386.0,401.9,Medium-value,2
12388.0,2780.6600000000003,High-value,6
12390.0,549.84,Medium-value,1
12391.0,439.66,Medium-value,1
12393.0,1582.6000000000001,High-value,4
12394.0,1272.48,High-value,2
12395.0,2998.28,High-value,15
12397.0,2409.9,High-value,2
12398.0,1635.6599999999999,High-value,1
12399.0,1108.65,Medium-value,4
12401.0,84.3,Low-value,1
12402.0,225.60000000000002,Low-value,1
12403.0,409.7,Medium-value,2
12405.0,1710.39,High-value,1
12406.0,3280.75,High-value,3
12407.0,1708.12,High-value,5
12408.0,2842.57,High-value,9
12409.0,11056.93,High-value,7
12410.0,681.08,Medium-value,3
12412.0,1226.88,High-value,3
12413.0,694.15,Medium-value,5
12414.0,562.4100000000001,Medium-value,3
12415.0,123725.45,High-value,26
12417.0,3578.8,High-value,12
12418.0,668.58,Medium-value,1
